"Month.Year","All.Jobs..Male.and.Female....Trend","All.Jobs..Male.and.Female....Seasonally.Adjusted","All.Jobs..Male....Trend","All.Jobs..Male....Seasonally.Adjusted","All.Jobs..Female....Trend","All.Jobs..Female....Seasonally.Adjusted","Employed.Full.time..Male.and.Female....Trend","Employed.Full.time..Male.and.Female....Seasonally.Adjusted","Employed.Full.time..Male....Trend","Employed.Full.time..Male....Seasonally.Adjusted","Employed.Full.time..Female....Trend","Employed.Full.time..Female....Seasonally.Adjusted","Employed.Part.time..Male.and.Female....Trend","Employed.Part.time..Male.and.Female....Seasonally.Adjusted","Employed.Part.time..Male....Trend","Employed.Part.time..Male....Seasonally.Adjusted","Employed.Part.time..Female....Trend","Employed.Part.time..Female....Seasonally.Adjusted","New.South.Wales...Trend","New.South.Wales...Seasonally.Adjusted","Victoria...Trend","Victoria...Seasonally.Adjusted","Queensland...Trend","Queensland...Seasonally.Adjusted","South.Australia...Trend","South.Australia...Seasonally.Adjusted","Western.Australia...Trend","Western.Australia...Seasonally.Adjusted","Tasmania...Trend","Tasmania...Seasonally.Adjusted","Northern.Territory...Trend","Australian.Capital.Territory"
"Jul-16",1655852.3,1659101,993865.9,992151.3,661986.4,666949.7,1380957.1,1380410.4,908023.4,906677,472933.7,473733.4,274895.2,278690.6,85842.5,85474.3,189052.7,193216.3,527755.9,529313.2,424823.6,425124.1,334565.1,334909.6,108211.9,108417.1,179286.5,179059.3,31474,31401.3,20595.9,29727
"Aug-16",1657075,1660301.3,994379.3,998077.3,662695.7,662224,1380701.7,1384991.2,908218.4,911603.1,472483.3,473388.1,276373.3,275310.1,86160.9,86474.2,190212.4,188835.9,527827.3,525310,426459.1,429213.6,333984.1,335004,108650,108861.2,179260.9,179774,31532.9,31881.3,20604.1,29761.5
"Sep-16",1659005.1,1656396.8,995544.3,994604.9,663460.8,661791.9,1381369.6,1374742.1,909318.4,905242.1,472051.2,469499.9,277635.5,281654.7,86225.9,89362.8,191409.6,192291.9,528047.4,528776.3,427681.6,426703.3,333495.6,332061.9,109218,108891.1,179648,178134.6,31540.5,31827,20582.2,29776.2
"Oct-16",1661818.9,1659786.7,997445.2,997653.6,664373.7,662133.1,1383227.5,1383736.5,911395.8,911004.1,471831.7,472732.4,278591.4,276050.2,86049.4,86649.5,192541.9,189400.7,528221.9,528480.5,428606.3,425763,333365.4,333262.9,109746.8,110125.8,180480.2,180743.2,31532.6,31297.5,20544.1,29774.3
"Nov-16",1665426.3,1662481.4,999891.1,997306.8,665535.1,665174.6,1386169.1,1383675.2,914166.8,911827.4,472002.2,471847.8,279257.2,278806.2,85724.3,85479.4,193532.9,193326.8,528252.1,527096.5,429351.5,429675.3,333642,333760.8,110146.7,108913,181675.9,181194.7,31556.3,31276.7,20498.4,29752.8
"Dec-16",1669294.3,1673332.3,1002351.5,1005608.8,666942.8,667723.6,1389571.1,1394080.3,916918.2,920552.6,472653,473527.6,279723.2,279252.1,85433.3,85056.1,194289.9,194196,528059.8,530315,430113.3,432020.2,334517.5,334195.1,110393,110786.6,183031.9,183583.5,31656.6,31568.1,20439.5,29748.4
"Jan-17",1673152.9,1708601.7,1004556.1,1033423.7,668596.9,675178,1392988.6,1422475.7,919230.4,948481.1,473758.2,473994.5,280164.3,286126.1,85325.7,84942.5,194838.7,201183.5,527784.7,537428.8,431028.3,444144.5,335933.1,336722.4,110534.7,114442.4,184260.2,193010.8,31845.1,33717.1,20347.8,29799.8
"Feb-17",1677110.3,1658557.6,1006593.6,993020.5,670516.7,665537.1,1396418.9,1377780.9,921173.1,907770.2,475245.8,470010.7,280691.4,280776.7,85420.5,85250.4,195270.9,195526.3,527758.7,523792.5,432108.9,429398.6,337850.1,330761.7,110667.7,107499.6,185254,184985,32112.8,32040.5,20219.7,29887.9
"Mar-17",1681214.2,1676560.6,1008464.9,1001121.9,672749.3,675438.6,1399864.6,1396364.5,922870.2,916084.3,476994.3,480280.3,281349.7,280196,85594.7,85037.7,195755,195158.4,528187.9,526260.4,433248.2,432545.3,339958.3,338925.4,110851.2,109863.2,186004.2,187352,32398.9,31714.5,20074.8,29984.1
"Apr-17",1685626.7,1667231.4,1010337.3,1006613,675289.5,660618.3,1403567.3,1385199.2,924683.1,919544.5,478884.2,465654.7,282059.4,282032.1,85654.1,87068.5,196405.3,194963.7,529234.1,524094.5,434315.9,422903.5,341879.4,340562.6,111137.3,112070.7,186621,185011.3,32647.9,32537.4,19952.8,30102
"May-17",1690391.4,1711460.3,1012466.4,1023427,677925,688033.3,1407799.3,1428692.1,926971.7,937495.9,480827.6,491196.1,282592.1,282768.2,85494.7,85931.1,197097.4,196837.1,530866.5,539863,435149.6,440217.4,343491.5,349921.7,111512.4,110850.8,187270.3,186783.6,32831.8,33380,19879.6,30246.9
"Jun-17",1695486.2,1707230,1014931.9,1016747.6,680554.3,690482.3,1412627.4,1425131.2,929785.8,934381,482841.5,490750.2,282858.9,282098.7,85146.1,82366.6,197712.8,199732.1,533026,536782,435723.4,444113.4,344849.9,342993.7,111918.4,112174.2,187985,188582.8,32955,33092.4,19860.7,30425.5
"Jul-17",1700776.3,1698801.3,1017652.6,1016120.4,683123.7,682680.9,1417878.8,1416307.7,932915.2,931733.4,484963.6,484574.3,282897.5,282493.6,84737.4,84387,198160.1,198106.6,535451.3,533347.6,436042.4,435862.1,346038.2,344693.7,112267.6,112641.5,188716.5,189062.3,33025.8,33009.3,19875.8,30623.3
"Aug-17",1705855.6,1702172.9,1020156.3,1017149.4,685699.3,685023.5,1423025,1420152.5,935715,933378.7,487310,486773.8,282830.5,282020.3,84441.2,83770.7,198389.3,198249.7,537778.2,535461,436372.7,435495.7,347196.4,346813.6,112484.4,112317.5,189292.2,188401.7,33052.5,32887,19900.6,30839.4
"Sep-17",1710318.6,1711332.5,1022145.5,1024101.3,688173.1,687231.2,1427509.4,1428201.9,937711.8,939598.8,489797.6,488603.1,282809.2,283130.7,84433.7,84502.5,198375.4,198628.1,539748.5,540763.2,437076.1,436409.4,348274.6,346293,112569.7,112705,189530,190522.6,33050.8,33256.1,19923.6,31069.5
"Oct-17",1713897,1711689.9,1023439.8,1022196.4,690457.2,689493.5,1430788.4,1429499.2,938640.8,937096.7,492147.6,492402.4,283108.6,282190.7,84799,85099.6,198309.6,197091.1,541239,543294.9,438282,435406.1,349165.9,351771.7,112600.3,112512,189342,184772.6,33045.2,32864.2,19946.8,31305.3
"Nov-17",1716575.8,1724077,1024101.2,1028327.3,692474.6,695749.7,1432654.6,1439842.6,938621.8,942969.2,494032.9,496873.4,283921.2,284234.3,85479.5,85358.1,198441.7,198876.3,542329.5,543029.3,439855.8,443009.5,349539,351160.8,112614.8,112867.9,188806.9,189204.4,33052.5,33104.8,19976.1,31525.6
"Dec-17",1718484.8,1716845.8,1024164.2,1023308.2,694320.6,693537.6,1433326.2,1431698.7,937915.6,937744.2,495410.7,493954.4,285158.5,285147.2,86248.6,85564,198909.9,199583.2,543140.6,542605.2,441475.9,441527.6,349292.9,348282.6,112653.1,112033.8,188201.9,188083.4,33080.8,33094.7,20033.3,31681.8
"Jan-18",1719769.1,1719524.2,1023788.8,1022658,695980.4,696866.2,1433120.1,1433557.4,936825.7,935277.1,496294.4,498280.2,286649.1,285966.8,86963.1,87380.9,199685.9,198585.9,543909.7,543550.7,442722.3,443832.3,348572.3,349763.3,112746,112935,187816.2,184321.7,33119.7,33080.4,20130.9,31735.7
"Feb-18",1720987,1716784.8,1023604.3,1023581.4,697382.8,693203.4,1432743,1429024,936041.8,935323.3,496701.2,493700.7,288244,287760.8,87562.5,88258.1,200681.5,199502.7,544806.4,542669.2,443589.7,442886.3,347902.8,345922.9,112892.3,113035.5,187869.4,186869,33170.6,33166.9,20252.6,31715.7
"Mar-18",1722980.6,1719984,1024382.3,1023473.3,698598.3,696510.8,1433162,1427827,936345.9,935271.5,496816.2,492555.4,289818.6,292157,88036.4,88201.7,201782.2,203955.3,546150.1,546094.6,444194.9,442946.8,347499.6,346946.3,113102.4,113394.7,188377.3,185255.7,33246.1,33241,20377.8,31651.9
"Apr-18",1725952.6,1737871.2,1026188.5,1035603.5,699764.1,702267.6,1434754.8,1447647.1,937803.2,948297.5,496951.5,499349.7,291197.8,290224,88385.3,87306,202812.5,202918,547812.6,549287.7,444851,446884.7,347420.4,353605.2,113325.6,112468,189172.1,189444.7,33329.5,35152.4,20476.9,31553.6
"May-18",1729706.4,1727199,1028556.2,1026910.9,701150.2,700288.1,1437423,1435778.4,939942.8,939130.2,497480.2,496648.3,292283.4,291420.6,88613.4,87780.7,203670,203639.9,549285.5,549014,445923.3,444483.4,347645.4,343841.5,113534.2,114344.2,189982.2,190334.2,33394,33291.5,20526.9,31451.4
"Jun-18",1733822.2,1736236.5,1031020.2,1033338.8,702802,702897.7,1440769.6,1442153,942267.9,944002.4,498501.7,498150.6,293052.6,294083.5,88752.3,89336.5,204300.3,204747,550283.4,551346,447492.5,446322,347914,348012.3,113738.5,113071.6,190701.9,192241.4,33437.6,33442.7,20525.8,31377.5
"Jul-18",1737465.4,1737862.1,1032915.5,1036140.4,704549.9,701721.6,1443995.3,1443731.3,944042.8,946770.5,499952.5,496960.8,293470.1,294130.7,88872.7,89369.9,204597.4,204760.8,550639.2,549342,449237.1,450381.7,348066.2,346847.3,113938.6,114805.8,191277.6,190721.9,33450.2,33653.9,20474.5,31355.7
"Aug-18",1740400.2,1740054.9,1034140.4,1033847.7,706259.8,706207.2,1446794.3,1447547.8,945162,945129.3,501632.3,502418.6,293605.9,292507.1,88978.3,88718.4,204627.5,203788.7,550440.6,553773.4,450877.2,449534.1,348152.9,347346.8,114127.1,113827.9,191718,190303.7,33440.9,33497,20388.7,31369.4
"Sep-18",1742522,1742797.5,1034795.3,1032546.8,707726.7,710250.7,1448953.1,1449011.2,945788.3,943846.8,503164.7,505164.4,293568.9,293786.3,89007,88700,204562,205086.3,549898.5,549072.9,452250.1,454372,348412.3,349317.4,114266,113534.7,191989.5,192082.4,33417.3,33097.7,20275.2,31359.8
"Oct-18",1744690.8,1747961.5,1035553.4,1036187.6,709137.4,711773.9,1451219.9,1453844.3,946626.1,947144.5,504593.8,506699.7,293471,294117.2,88927.3,89043,204543.6,205074.1,549575.1,548474.7,453511.3,454814.6,349230.8,350334,114400.4,115292.2,192150.5,192994.6,33379.2,34293.4,20159.9,31308.9
"Nov-18",1747756.5,1746077.3,1037162.7,1037512.1,710593.8,708565.2,1454375.4,1453210,948312.4,948521.1,506063,504688.8,293381.1,292867.4,88850.3,88991,204530.8,203876.4,549966.7,551699.9,454708.7,452793.3,350559.5,348522.6,114608.2,114664.3,192337.8,193598.8,33320.4,33451.1,20058.9,31235.4
"Dec-18",1751993.7,1742825.4,1039709,1032448.4,712284.6,710377,1458507.7,1446947,950827.4,940433,507680.4,506514,293485.9,295878.4,88881.7,92015.4,204604.3,203863,551377.4,547294.5,455680.5,454064.4,352314.9,350557.2,114931.3,114460.6,192656.5,191947,33238.1,33240.2,19960.1,31174.8
"Jan-19",1756881.9,1755087.2,1042593.5,1042715.9,714288.4,712371.3,1462941.5,1461068.5,953530.8,954346.9,509410.7,506721.7,293940.4,294018.6,89062.7,88369,204877.6,205649.6,553587.3,553026.1,456462.7,455854.4,354033.3,355332,115334.8,114850.5,193129.3,191650.8,33152.6,33284.8,19848.1,31185.8
"Feb-19",1761385.5,1763982.3,1044933.7,1045013.5,716451.8,718968.8,1466750.8,1467592.5,955586.9,956078.9,511163.9,511513.7,294634.7,296389.8,89346.9,88934.7,205287.9,207455.1,556198.1,555011.8,456786.2,459822.7,355356.5,357185.4,115749.7,115737,193769.6,192343.1,33089.1,32990.3,19724,31265.5
"Mar-19",1764722.9,1775596.7,1046144.6,1052777.7,718578.3,722819,1469263.3,1480457.3,956432.2,963210.1,512831.1,517247.2,295459.6,295139.4,89712.4,89567.6,205747.2,205571.8,558711.7,562847.2,456628,459006.1,355956.8,356521.4,116051,116750.7,194624.3,196070.2,33077.2,32951.9,19588.1,31380.8
"Apr-19",1766689.1,1767359.5,1046202.7,1046542.4,720486.4,720817.1,1470396.9,1471294.8,956087.4,955215,514309.6,516079.8,296292.1,296064.7,90115.3,91327.4,206176.8,204737.3,560639.7,561485.9,456256.6,454235.1,355876.2,354505,116187.4,116411.3,195509,196912.5,33113.8,32969.1,19464.3,31515.5
"May-19",1767622.8,1761967,1045465.5,1041648.3,722157.3,720318.7,1470674.6,1463363.3,955019.5,951627.7,515655.1,511735.6,296948.2,298603.8,90446,90020.7,206502.2,208583.1,561885.6,561232.5,455884.9,453921.6,355389.3,351141.2,116128.4,115987.6,196256.2,195575,33193.7,33211.1,19375.4,31652.4
"Jun-19",1767941.3,1764670.2,1044269.9,1042959.5,723671.4,721710.7,1470484.4,1466431,953625.6,952281.2,516858.8,514149.8,297456.9,298239.2,90644.3,90678.3,206812.6,207560.9,562412.9,559225.2,455876.7,456876.2,354817.1,351155.2,115870.2,117339.1,196716.1,194376.3,33286.7,33554.4,19326.9,31777.4
"Jul-19",1768496.5,1768828.6,1043115.9,1043842.9,725380.7,724985.8,1470502.9,1472996.6,952304.6,952942,518198.3,520054.6,297993.6,295832,90811.3,90900.8,207182.3,204931.2,562402.8,565514.3,456552.1,453338.5,354540.5,353574.6,115515.3,114897.1,196759.7,197478.6,33384.8,33475.1,19315.7,31889.8
"Aug-19",1769831,1773543.2,1042630.3,1045513.3,727200.6,728029.9,1471168.4,1471910.2,951516.2,951603,519652.2,520307.2,298662.6,301633,91114.1,93910.3,207548.5,207722.7,562251.8,561381.6,457794.9,461056.7,354637.2,354739,115162.8,115412.8,196567.4,196858.8,33484.4,33409.7,19344.4,31985.7
"Sep-19",1771551.1,1774680.6,1042813.8,1043602.3,728737.3,731078.3,1472073.6,1475536.8,951141.4,952582.4,520932.1,522954.4,299477.5,299143.8,91672.4,91019.9,207805.1,208123.9,562061.5,562377,459111.4,459165.9,354862.4,357758.5,114886.9,114886.1,196275,195463.1,33572.4,33056.5,19390.5,32092.1
"Oct-19",1772814.3,1771298.6,1043105.4,1042150.2,729708.9,729148.4,1472462.1,1471439.9,950717.4,950872.2,521744.7,520567.7,300352.1,299858.6,92388,91278,207964.2,208580.7,561785.6,561794.5,460017.1,458644.9,354960.7,353898.3,114743.4,113439.9,196015.5,197949,33654.7,34013,19441.3,32195.6
"Nov-19",1772780.4,1768118.4,1042857.2,1039401.8,729923.1,728716.7,1471584.7,1465260.3,949768.6,945786.6,521816.1,519473.7,301195.6,302858.2,93088.7,93615.1,208107,209243,561244.3,559891.4,460246.1,461180.9,354585.5,353076.3,114670.2,114353.3,195855.6,194182.5,33744.1,33754.5,19477.2,32291.4
"Dec-19",1771138.4,1778279.7,1041690,1044372.8,729448.3,733906.8,1469106.8,1475828.4,948014.9,949177.1,521091.9,526651.3,302031.5,302451.2,93675.1,95195.7,208356.4,207255.5,560660.2,561933.3,459791.3,465095.6,353738.7,356587.1,114610.5,114436.4,195938.3,194608.6,33832.6,34018.8,19469.1,32391.5
"Jan-20",1768004.1,1771523.8,1039356.2,1045511.6,728647.9,726012.3,1465088.6,1469565.9,945208.1,951172.5,519880.5,518393.4,302915.5,301957.9,94148.1,94339.1,208767.5,207618.9,560196.5,560920.3,458903.5,458319,352661.5,353316.3,114543.8,114607.4,196379,198559.5,33900.8,33723,19395.9,32497.5
