X,Monthly.hours.worked.in.all.jobs....Persons..,Monthly.hours.worked.in.all.jobs....Persons...1,Monthly.hours.worked.in.all.jobs......Males..,Monthly.hours.worked.in.all.jobs......Males...1,Monthly.hours.worked.in.all.jobs......Females..,Monthly.hours.worked.in.all.jobs......Females...1,X..Monthly.hours.worked.in.all.jobs..employed.full.time.....Persons..,X..Monthly.hours.worked.in.all.jobs..employed.full.time.....Persons...1,X..Monthly.hours.worked.in.all.jobs..employed.full.time.......Males..,X..Monthly.hours.worked.in.all.jobs..employed.full.time.......Males...1,X..Monthly.hours.worked.in.all.jobs..employed.full.time.......Females..,X..Monthly.hours.worked.in.all.jobs..employed.full.time.......Females...1,X..Monthly.hours.worked.in.all.jobs..employed.part.time.....Persons..,X..Monthly.hours.worked.in.all.jobs..employed.part.time.....Persons...1,X..Monthly.hours.worked.in.all.jobs..employed.part.time.......Males..,X..Monthly.hours.worked.in.all.jobs..employed.part.time.......Males...1,X..Monthly.hours.worked.in.all.jobs..employed.part.time.......Females..,X..Monthly.hours.worked.in.all.jobs..employed.part.time.......Females...1,Monthly.hours.worked.in.all.jobs......New.South.Wales..,Monthly.hours.worked.in.all.jobs......New.South.Wales...1,Monthly.hours.worked.in.all.jobs......Victoria..,Monthly.hours.worked.in.all.jobs......Victoria...1,Monthly.hours.worked.in.all.jobs......Queensland..,Monthly.hours.worked.in.all.jobs......Queensland...1,Monthly.hours.worked.in.all.jobs......South.Australia..,Monthly.hours.worked.in.all.jobs......South.Australia...1,Monthly.hours.worked.in.all.jobs......Western.Australia..,Monthly.hours.worked.in.all.jobs......Western.Australia...1,Monthly.hours.worked.in.all.jobs......Tasmania..,Monthly.hours.worked.in.all.jobs......Tasmania...1,Monthly.hours.worked.in.all.jobs......Northern.Territory..,Monthly.hours.worked.in.all.jobs......Australian.Capital.Territory..
Jan-81,958308.3,955103.9,671627.6,671204,286680.7,283899.9,892373.9,889713.4,657445.9,657510.7,234928,232202.7,65934.4,65390.6,14181.7,13693.3,51752.7,51697.3,338607.3,337081.8,255554.6,255182.3,145535.1,145200.9,83232.3,83182.3,85857.2,86066.9,26011.3,26219.4,8725.5,14588.4
Feb-81,959002.2,959318.5,671827.9,671684.3,287174.2,287634.2,892828.2,893347.8,657642.4,657759.3,235185.7,235588.5,66174,65970.7,14185.5,13925,51988.5,52045.7,339207.9,339664.9,256120.6,254703.6,145592.9,145914.2,83264.9,83552.5,85937.4,85783.3,26051.4,25933.9,8843.6,14679.5
Mar-81,960198.6,958902.8,672251.8,671575.3,287946.8,287327.5,893746.4,892360.9,657994,657220.1,235752.4,235140.8,66452.2,66541.9,14257.8,14355.2,52194.4,52186.6,340014.8,339724.1,256714.9,258286.3,145959.6,145000.5,83350.5,82982.7,85948.3,84069.9,26046.6,25926.3,8882.9,14752.8
Apr-81,961820.1,975809.5,672872.5,682357.5,288947.7,293452,895076,908983.5,658484.9,668094.2,236591.1,240889.3,66744.2,66826,14387.6,14263.3,52356.6,52562.7,340823.8,342371,257228.3,263891.5,146704.7,147283.9,83470.8,84263.3,85977.3,87810.9,25974,26291.1,8872,14797.2
May-81,963446.8,962216.1,673374.7,672439.4,290072.2,289776.7,896424,894958.6,658831,657759.6,237593,237199,67022.8,67257.5,14543.6,14679.9,52479.2,52577.6,341352,339969,257653.7,256403.1,147656.6,146772.4,83585.8,83190.4,86017.4,85325.4,25860.4,26484.4,8848.5,14798.4
Jun-81,964493.1,965118.5,673300.3,673071,291192.8,292047.5,897222.1,897835.3,658625.9,658285.6,238596.2,239549.7,67271.1,67283.2,14674.4,14785.4,52596.6,52497.8,341513.5,343617.4,257949.7,259344.5,148517.1,143751.9,83695.2,83107.7,86015.5,86542.5,25751.1,25793.4,8843.7,14763.6
Jul-81,964921.4,967086.5,672663,674951.9,292258.5,292134.5,897525.6,900078.7,657959.6,660166.3,239566.1,239912.4,67395.8,67007.8,14703.4,14785.7,52692.4,52222.1,341379.9,340987.6,258035.8,257377.4,149127,149553.3,83837.8,84015.2,85910.5,86686.1,25676.8,25548,8876.3,14700.3
Aug-81,964801,963493.8,671591.1,671443.4,293209.9,292050.3,897455.5,896205,656991.6,656936.7,240463.9,239268.2,67345.5,67288.8,14599.4,14506.7,52746,52782.1,341160,337517.3,257934.2,257010.5,149443,150828.4,83952.1,84402.8,85741.8,85053.8,25639.5,25333.7,8932,14624.1
Sep-81,964487.6,975613.3,670479,680313.2,294008.6,295300.1,897397.3,908003.9,656088.5,665912.7,241308.8,242091.1,67090.3,67609.4,14390.5,14400.5,52699.9,53208.9,340998.8,343636,257721,259492.2,149602.9,149383.3,83987.5,87021,85592.3,86435.1,25632.9,25853.7,8970.1,14558.4
Oct-81,964477.7,963393.7,669878,669114.1,294599.7,294279.5,897797,895726.3,655760.4,654193.3,242036.7,241533.1,66680.7,67667.3,14117.7,14920.9,52563,52746.5,340925.1,340291.3,257499.2,257161.6,149854.6,148816.6,83933.8,83655.3,85536.5,84179.9,25641,25771.3,8959.5,14510.5
