"REGION","MONTH.YEAR","VALUE"
"Victoria...Trend","Apr-17",434315.9
"Victoria...Trend","May-17",435149.6
"Victoria...Trend","Jun-17",435723.4
"Victoria...Trend","Jul-17",436042.4
"Victoria...Trend","Aug-17",436372.7
"Victoria...Trend","Sep-17",437076.1
"Victoria...Trend","Oct-17",438282
"Victoria...Trend","Nov-17",439855.8
"Victoria...Trend","Dec-17",441475.9
"Victoria...Trend","Jan-18",442722.3
"Victoria...Trend","Feb-18",443589.7
"Victoria...Trend","Mar-18",444194.9
"Victoria...Trend","Apr-18",444851
"Victoria...Trend","May-18",445923.3
"Victoria...Trend","Jun-18",447492.5
"Victoria...Trend","Jul-18",449237.1
"Victoria...Trend","Aug-18",450877.2
"Victoria...Trend","Sep-18",452250.1
"Victoria...Trend","Oct-18",453511.3
"Victoria...Trend","Nov-18",454708.7
"Victoria...Trend","Dec-18",455680.5
"Victoria...Trend","Jan-19",456462.7
"Victoria...Trend","Feb-19",456786.2
"Victoria...Trend","Mar-19",456628
"Victoria...Trend","Apr-19",456256.6
"Victoria...Trend","May-19",455884.9
"Victoria...Trend","Jun-19",455876.7
"Victoria...Trend","Jul-19",456552.1
"Victoria...Trend","Aug-19",457794.9
"Victoria...Trend","Sep-19",459111.4
"Victoria...Trend","Oct-19",460017.1
"Victoria...Trend","Nov-19",460246.1
"Victoria...Trend","Dec-19",459791.3
"Victoria...Trend","Jan-20",458903.5
"Victoria...Trend","Feb-20",457915.9
"Victoria...Trend","Mar-20",457065.8
"Victoria...Trend","Apr-20",411571.3
"Victoria...Trend","May-20",411382
"Victoria...Trend","Jun-20",411812.8
"Victoria...Trend","Jul-20",412626.2
"Victoria...Trend","Aug-20",413831.6
"Victoria...Trend","Sep-20",415233.9
"Victoria...Trend","Oct-20",416820.7
"Victoria...Trend","Nov-20",444849.3
"Victoria...Trend","Dec-20",446586.6
"Victoria...Trend","Jan-21",448464.5
"Victoria...Trend","Feb-21",450687.5
"Victoria...Trend","Mar-21",453328.2
"Victoria...Trend","Apr-21",456101.4
"Victoria...Trend","May-21",458529.4
"Victoria...Trend","Jun-21",460299.9
"Victoria...Trend","Jul-21",461499.9
"Victoria...Trend","Aug-21",462534.1
"Victoria...Trend","Sep-21",463447.9
"Victoria...Trend","Oct-21",464577.5
"Victoria...Trend","Nov-21",465639.6
"Victoria...Trend","Dec-21",466394.8
"Victoria...Trend","Jan-22",466394.3
"Victoria...Trend","Feb-22",465719.3
"Victoria...Trend","Mar-22",464922.9
"Victoria...Trend","Apr-22",464639
"Victoria...Trend","May-22",465327.9
"Victoria...Trend","Jun-22",467186.3
"Victoria...Trend","Jul-22",469886
"Victoria...Trend","Aug-22",472931.4
"Victoria...Trend","Sep-22",475973.9
"Victoria...Trend","Oct-22",479025.6
"Victoria...Trend","Nov-22",482089.2
"Victoria...Trend","Dec-22",485291.6
"Victoria...Trend","Jan-23",488602.9
"Victoria...Trend","Feb-23",491976.8
